"segment","solution","solved_pains","unsolved_pains","oem_benefit","ecvt_mgu_can_beat_if","evidence_ids"
"Premium urban commuter","有级 gearbox MGU","低维护、封闭和高端差异化。","可能过重过贵，有级体验未必比 hub CVT 更适合城市。","高端小众可用。","e-CVT 更顺、更少档位感、更接近普通用户需求。","V001;V025;F001;F004"
"Premium urban commuter","普通中置/轮毂电机 + 机械传动","便宜、足够好。","无法提供高级自动传动体验。","价格带覆盖最大。","OEM 定位足够高端且重视防盗/低维护/自动。","V006;F015"
"High-end eMTB","e-CVT MGU","去后拨/飞轮、减少外露易损件、中心化质量、降低后轮复杂度和非簧载质量、负载/静止变比、扭矩平滑、可模拟档位和旗舰技术感。","重量、效率、NVH、手动信任、冲击耐久、摔车/泥水/清洗可靠性要求极高。","技术旗舰、悬架/后轮设计自由、技术爬坡能力和高端品牌差异化强。","骑感、噪声、重量和效率接近或超过电子外变方案，并证明后拨取消、>1.1 kg 级非簧载质量改善、<0.1 s / 300 Nm 换挡和技术爬坡体验可被用户感知。","V003;V004;V027;V028;V029;V032;F031;F032;F035;F036;F043;F044;F045;F046;F047;F048"
"High-end eMTB","电子外变 + 高性能中置","运动生态强、轻、换挡逻辑熟悉、OEM 风险低。","后拨和飞轮仍易损，泥沙/冲击维护痛点仍在。","最稳妥的高端 eMTB 路线。","后拨取消和维护收益成为强需求，且 e-CVT 手动/虚拟档足够可信。","V007;V008;F016;F018"
"High-end eMTB","花鼓 CVT/内变 + 中置","后拨取消，但激进 eMTB 后轮质量和骑感压力大。","运动接受度和效率疑虑更大。","适合少数耐久导向车型。","e-CVT MGU 中置集成显著改善后轮动态。","V009;V012;F020;F024"
"High-end eMTB","有级 gearbox MGU","已量产、封闭、后拨取消、宽范围。","有级换挡、噪声、重量和骑感仍可能限制运动用户。","已验证 OEM 装车路径。","无级/快速/安静/可模拟档明显优于有级 MGU。","V001;V018;V021;V022;F001;F004"
"High-end eMTB","普通高性能中置 + 外变","轻、强、成熟、用户熟悉。","外露传动痛点存在。","销量风险最低。","e-CVT 给出可感知性能优势，而不只是少维护。","V002;V006;F006;F015"
"Touring / adventure","e-CVT MGU","自动踏频、封闭传动、低维护和 connected 诊断潜力。","长途效率、断电可骑、全球维修和软件依赖风险。","高端智能 touring 差异化。","证明长途可靠性和故障降级优于有级 MGU/机械 gearbox。","V004;F026;F027"
"Touring / adventure","电子外变 + 中置","可维修、熟悉、轻。","外露维护和偏远可靠性不足。","低开发风险。","封闭低维护成为核心购买理由。","V005;V007;F013;F016"
"Touring / adventure","花鼓/gearbox 内变 + 中置","非常强：Rohloff/Pinion 等已有可靠宽范围故事。","系统集成和自动踏频不如 e-CVT 一体化。","可靠性叙事清楚。","e-CVT 在自动体验和诊断上形成明显增量。","V010;V011;V013;V014;F022;F023;F025"
"Touring / adventure","有级 gearbox MGU","宽范围、封闭、低维护和量产。","自动无级体验不足。","高端整车容易讲清。","用户研究证明无级/目标踏频愿意替代有级。","V001;V025;F001;F004"
"Touring / adventure","普通中置 + 机械传动","简单、便宜、可维修。","低维护和自动体验弱。","适合大众 touring。","高端长途用户愿意接受一体化系统。","V006;F015"
"Lightweight eMTB/eGravel","e-CVT MGU","理论上减少传动管理。","重量、无电阻力、体积和运动控制几乎都是硬伤。","只适合作为概念差异化。","做到接近轻量中置系统重量和低阻。","V004;F026"
"Lightweight eMTB/eGravel","电子外变 + 轻量中置","轻、运动、熟悉。","外露传动维护存在但可接受。","最符合细分市场价值排序。","外露维护变成不可接受痛点。","V008;F018"
"Lightweight eMTB/eGravel","花鼓 CVT/内变 + 中置","低维护但偏重，骑感风险。","不匹配轻量核心诉求。","小众耐久路线。","e-CVT 仍难 beat，除非重量革命。","V009;F020"
"Lightweight eMTB/eGravel","有级 gearbox MGU","低维护但偏重。","与轻量/运动控制冲突。","小众高端路线。","e-CVT 更轻且更低阻。","V001;F001"
"Lightweight eMTB/eGravel","普通轻量中置 + 机械传动","最强：轻、自然、成熟。","不解决低维护传动。","主流选择。","很难被 e-CVT MGU beat。","V002;F005"
