source_id,tier,source_type,evidence_form,title,publisher_or_owner,url,date_or_version,products_or_scope,what_it_proves,key_numbers_or_claims,uncertainty,visual_check_note
O010,O,official,url-collected,"Rohloff E-14 / SPEEDHUB official site","Rohloff","https://www.rohloff.de/en/","collected 2026-07-03","Rohloff E-14 and SPEEDHUB 500/14","Official source target for electronic internal-gear hub integration and 14-speed benchmark.","Candidate for L2 electronic shifting and L4 internal-gear substitute route.","URL collected but exact E-14 page needs second pass.","Needs compatibility and ratio table extraction."
O011,O,official,url-collected,"3X3 official site","3X3","https://www.3x3.bike/","collected 2026-07-03","3X3 NINE hub and e-bike integrations","Official source target for modern internal-gear hub competitor.","Candidate L4 internal-gear hub and possible L2 electronic integration route.","URL collected; exact product and e-shift compatibility page needs second pass.","Needs ratio/torque/service claims extraction."
O012,O,official,url-collected,"Classified Powershift official site","Classified Cycling","https://classified-cycling.cc/","collected 2026-07-03","Classified Powershift hub","Official source target for hub-shift substitute technology.","L4 alternative transmission route, mostly performance bicycle rather than eMTB MGU.","URL collected; e-bike/high-torque applicability needs confirmation.","Needs drivetrain load and e-bike compatibility check."
O013,O,official,url-collected,"Gates Carbon Drive official site","Gates","https://www.gatescarbondrive.com/","collected 2026-07-03","Gates Carbon Drive belt ecosystem","Official source target for belt-drive system constraints and opportunities.","L4 ecosystem route relevant to sealed gearbox and low-maintenance design.","URL collected; exact e-bike torque/sprocket constraints need extraction.","Needs compatibility and design-guide review."
O014,O,official,url-collected,"TQ HPR50 official site","TQ","https://www.tq-ebike.com/en/","collected 2026-07-03","TQ HPR-series drive systems","Official source target for lightweight high-performance mid-drive benchmark.","L3 benchmark for compact/light motor architecture, not integrated shifting.","URL collected; exact HPR50/HPR60 specs need second pass.","Needs current model split confirmation."
O015,O,official,url-collected,"FAZUA Ride 60 official site","FAZUA","https://fazua.com/","collected 2026-07-03","FAZUA Ride 60","Official source target for lightweight mid-drive benchmark.","L3 benchmark for removable/light e-bike drive systems, not integrated shifting.","URL collected; exact product page needs second pass.","Needs official spec extraction."
O016,O,official,url-collected,"Bafang M-series official site","Bafang","https://bafang-e.com/","collected 2026-07-03","Bafang M-series mid-drive systems","Official source target for high-torque mid-drive benchmark and possible automatic-shift adjacent products.","L3 benchmark and supplier landscape source; not proof of integrated MGU.","URL collected; exact M510/M560/M620/M820 product pages need second pass.","Needs model-by-model extraction."
O017,O,official,url-collected,"Yamaha e-Bike Systems official site","Yamaha Motor","https://global.yamaha-motor.com/business/e-bike-systems/","collected 2026-07-03","Yamaha PW-series drive systems","Official source target for high-performance mid-drive benchmark.","L3 benchmark for OEM motor supply and eMTB drive units.","URL collected; exact PW-X3/PW-XM pages need second pass.","Needs current lineup extraction."
O018,O,official,url-collected,"Brose eBike official site","Brose","https://www.brose-ebike.com/","collected 2026-07-03","Brose Drive systems","Official source target for high-performance mid-drive benchmark and SRAM/Specialized context.","L3 benchmark; also relevant because some branded ecosystems use Brose-derived drives.","URL collected; exact Drive S Mag/current product specs need second pass.","Needs model/current-generation confirmation."
O019,O,official,url-collected,"Specialized Turbo official site","Specialized","https://www.specialized.com/","collected 2026-07-03","Specialized Turbo motors and systems","Official source target for vertically integrated eMTB benchmark.","L3 benchmark for OEM-controlled motor/software ecosystem.","URL collected; model-level motor supplier/generation needs second pass.","Needs current Levo/Kenevo/Turbo SL product extraction."
O020,O,official,url-collected,"Valeo Cyclee official site","Valeo Cyclee","https://cyclee.valeo.com/","collected 2026-07-03","Valeo Cyclee / Smart e-Bike System","Official source target for motor plus automatic gearbox system.","L1 historical/strategic candidate; exact current commercial status must be verified.","URL collected but text not available in first pass; no numerical claims should be treated as verified.","Needs official archive/current site and partner-bike check."
O021,O,official,url-collected,"Revonte official site","Revonte","https://www.revonte.com/","collected 2026-07-03","Revonte ONE","Official source target for historical integrated drive/CVT candidate.","L1 historical candidate; current commercial status uncertain.","URL collected but source extraction failed in first pass; use only as pending longlist item.","Needs archive, company status and product availability check."
O022,O,official,url-collected,"Owuru official site","Owuru","https://www.owuru.com/","collected 2026-07-03","Owuru automatic stepless transmission","Official source target for automatic stepless e-bike transmission.","L2 or L4 candidate depending on integration with motor/OEM system.","URL collected; exact integration boundary needs verification.","Needs product architecture and OEM list extraction."
O023,O,official,url-collected,"Effigear official site","Effigear","https://www.effigear.com/","collected 2026-07-03","Effigear gearboxes","Official source target for gearbox technology and Valeo relationship background.","L4 gearbox substitute route and L1 supplier background for Valeo-like systems.","URL collected; exact product and current OEM application needs second pass.","Needs ratio, weight and e-bike compatibility extraction."
O024,O,official,url-collected,"Pinion gearbox official product family","Pinion","https://pinion.eu/en/gearboxes/","collected 2026-07-03","Pinion C-line, P-line, Smart.Shift","Official source target for non-motor gearbox substitute route.","L4 baseline for sealed bottom-bracket gearbox and electronic Smart.Shift direction.","URL collected; exact model tables need second pass.","Needs ratio, weight, shifting and OEM examples extraction."
O025,O,official,url-collected,"Shimano LINKGLIDE / CUES official site","Shimano","https://bike.shimano.com/","collected 2026-07-03","Shimano LINKGLIDE, CUES, Di2 drivetrain","Official source target for durable e-bike derailleur drivetrain route.","L4 high-load drivetrain substitute and L2 electronic-shift integration background.","URL collected; exact product pages need second pass.","Needs compatibility and durability claims extraction."
S002,B,user-provided,text-pending,"Zhihu article on DJI MG Concept","Zhihu user article","https://zhuanlan.zhihu.com/p/2053543854536765732","provided by user 2026-07-03","DJI / Avinox MG Concept interpretation","User-provided Chinese article to use as background and lead source for follow-up.","Do not treat as official DJI/Avinox evidence; use to discover leads and Chinese-market framing.","Page text not extracted in first pass; source needs manual/browser pass if access requires login/rendering.","Likely image-heavy; visual/OCR pass needed."
